pt_graph abundance
11248 0
11249 0
11249 0
11249 0.00014043
11249 0
11250 0
11250 0
11250 0.00014043
11250 0
11251 0
11251 0
11251 0.00001311
11251 0
11252 0
11252 0
11252 0.00001311
11252 0
11253 0
11253 0
11253 0.00001311
11253 0
11353 0.00137931
11353 0.00137931
11353 0.00001311
11353 0
11354 0.00137931
11354 0.00137931
11354 0.00001311
11354 0
11355 0.00137931
11355 0.00137931
11355 0.00014043
11355 0
11356 0.00137931
11356 0.00137931
11356 0.00014043
11356 0
11357 0.00137931
11357 0.00137931
11357 0.00014043
11357 0
11358 0.00137931
11358 0.00137931
11358 0.00028584
11358 0
11359 0.00137931
11359 0.00137931
11359 0.00028584
11359 0
11360 0.00046083
11360 0.00046083
11360 0.00028584
11360 0.00087719
11361 0.00046083
11361 0.00046083
11361 0.00075139
11361 0.00087719
11362 0.00046083
11362 0.00046083
11362 0.00075139
11362 0.00087719
11363 0.00046083
11363 0.00046083
11363 0.00075139
11363 0.0030303
11364 0.00046083
11364 0.00046083
11364 0.00075139
11364 0.0030303
11365 0
11365 0
11365 0.0041625
11365 0.0030303
11366 0
11366 0
11366 0.0041625
11366 0.0030303
11367 0
11367 0
11367 0.0041625
11367 0.0030303
11368 0
11368 0
11368 0.0041625
11368 0.0030303
11369 0
11369 0
11369 0.0041625
11369 0.0030303
11370 0
11370 0
11370 0.00075139
11370 0.0030303
11371 0
11371 0
11371 0.00075139
11371 0.00087719
11372 0
11372 0
11372 0.00075139
11372 0.00087719
11373 0
11373 0
11373 0.00075139
11373 0.00087719
11374 0
11374 0
11374 0.00075139
11374 0
11375 0
11375 0
11375 0.00028584
11375 0
11376 0
11376 0
11376 0.00028584
11376 0
11377 0
11377 0
11377 0.00028584
11377 0
11378 0
11378 0
11378 0.00028584
11378 0
11379 0
11379 0
11379 0.00014043
11379 0
11380 0
11380 0
11380 0.00014043
11380 0
11381 0
11381 0
11381 0.00014043
11381 0
11382 0
11382 0
11382 0.00014043
11382 0
11383 0
11383 0
11383 0.00001311
11383 0
11384 0
11384 0
11384 0.00001311
11384 0
11385 0
11385 0
11385 0.00001311
11385 0
11490 0.00137931
11490 0.00137931
11490 0
11490 0
11491 0.00137931
11491 0.00137931
11491 0
11491 0
11492 0.00137931
11492 0.00137931
11492 0.00001311
11492 0
11493 0.00137931
11493 0.00137931
11493 0.00001311
11493 0
11494 0.00137931
11494 0.00137931
11494 0.00001311
11494 0
11495 0.00137931
11495 0.00137931
11495 0.00014043
11495 0
11496 0.00137931
11496 0.00137931
11496 0.00014043
11496 0
11497 0.00137931
11497 0.00137931
11497 0.00014043
11497 0
11498 0.00137931
11498 0.00137931
11498 0.00028584
11498 0
11499 0.00137931
11499 0.00137931
11499 0.00028584
11499 0
11500 0.00137931
11500 0.00137931
11500 0.00028584
11500 0
11501 0.00046083
11501 0.00046083
11501 0.00028584
11501 0.00087719
11502 0.00046083
11502 0.00046083
11502 0.00075139
11502 0.00087719
11503 0.00046083
11503 0.00046083
11503 0.00075139
11503 0.00087719
11504 0.00046083
11504 0.00046083
11504 0.00075139
11504 0.00087719
11505 0
11505 0
11505 0.00075139
11505 0.00087719
11506 0
11506 0
11506 0.00075139
11506 0.00087719
11507 0
11507 0
11507 0.00075139
11507 0.00087719
11508 0
11508 0
11508 0.00075139
11508 0.00087719
11509 0
11509 0
11509 0.00075139
11509 0.00087719
11510 0
11510 0
11510 0.00075139
11510 0.00087719
11511 0
11511 0
11511 0.00075139
11511 0.00087719
11512 0
11512 0
11512 0.00075139
11512 0.00087719
11513 0
11513 0
11513 0.00075139
11513 0
11514 0
11514 0
11514 0.00028584
11514 0
11515 0
11515 0
11515 0.00028584
11515 0
11516 0
11516 0
11516 0.00028584
11516 0
11517 0
11517 0
11517 0.00028584
11517 0
11518 0
11518 0
11518 0.00028584
11518 0
11519 0
11519 0
11519 0.00014043
11519 0
11520 0
11520 0
11520 0.00014043
11520 0
11521 0
11521 0
11521 0.00014043
11521 0
11522 0
11522 0
11522 0.00014043
11522 0
11523 0
11523 0
11523 0.00001311
11523 0
11524 0
11524 0
11524 0.00001311
11524 0
11525 0
11525 0
11525 0.00001311
11525 0
11634 0.00046083
11634 0.00046083
11634 0
11634 0
11635 0.00137931
11635 0.00137931
11635 0
11635 0
11636 0.00137931
11636 0.00137931
11636 0.00001311
11636 0
11637 0.00137931
11637 0.00137931
11637 0.00001311
11637 0
11638 0.00137931
11638 0.00137931
11638 0.00001311
11638 0
11639 0.00178571
11639 0.00178571
11639 0.00001311
11639 0
11640 0.00137931
11640 0.00137931
11640 0.00014043
11640 0
11641 0.00137931
11641 0.00137931
11641 0.00014043
11641 0
11642 0.00137931
11642 0.00137931
11642 0.00014043
11642 0
11643 0.00137931
11643 0.00137931
11643 0.00028584
11643 0
11644 0.00137931
11644 0.00137931
11644 0.00028584
11644 0
11645 0.00137931
11645 0.00137931
11645 0.00028584
11645 0
11646 0.00137931
11646 0.00137931
11646 0.00028584
11646 0
11647 0.00046083
11647 0.00046083
11647 0.00075139
11647 0
11648 0.00046083
11648 0.00046083
11648 0.00075139
11648 0.00087719
11649 0.00046083
11649 0.00046083
11649 0.00075139
11649 0.00087719
11650 0
11650 0
11650 0.00075139
11650 0.00087719
11651 0
11651 0
11651 0.00075139
11651 0.00087719
11652 0
11652 0
11652 0.00075139
11652 0.00087719
11653 0
11653 0
11653 0.00075139
11653 0.00087719
11654 0
11654 0
11654 0.00075139
11654 0.00087719
11655 0
11655 0
11655 0.00075139
11655 0.00087719
11656 0
11656 0
11656 0.00075139
11656 0
11657 0
11657 0
11657 0.00075139
11657 0
11658 0
11658 0
11658 0.00028584
11658 0
11659 0
11659 0
11659 0.00028584
11659 0
11660 0
11660 0
11660 0.00028584
11660 0
11661 0
11661 0
11661 0.00028584
11661 0
11662 0
11662 0
11662 0.00028584
11662 0
11663 0
11663 0
11663 0.00014043
11663 0
11664 0
11664 0
11664 0.00014043
11664 0
11665 0
11665 0
11665 0.00014043
11665 0
11666 0
11666 0
11666 0.00014043
11666 0
11667 0
11667 0
11667 0.00014043
11667 0
11668 0
11668 0
11668 0.00001311
11668 0
11669 0
11669 0
11669 0.00001311
11669 0
11670 0
11670 0
11670 0.00001311
11670 0
11774 0.00137931
11774 0.00137931
11774 0
11774 0
11775 0.00137931
11775 0.00137931
11775 0.00001311
11775 0
11776 0.00137931
11776 0.00137931
11776 0.00001311
11776 0
11777 0.00178571
11777 0.00178571
11777 0.00001311
11777 0
11778 0.00178571
11778 0.00178571
11778 0.00001311
11778 0
11779 0.00178571
11779 0.00178571
11779 0.00001311
11779 0
11780 0.00178571
11780 0.00178571
11780 0.00014043
11780 0
11781 0.00178571
11781 0.00178571
11781 0.00014043
11781 0
11782 0.00178571
