port_name;lon;lat;idx_port
EEPAS;24.7;59.4500000008;483
EEPNL;22.311944;58.9488890008;484
EEPAA;21.986667;58.3600000008;485
EEPRP;25.671111;59.6541670008;486
EEPRN;24.5;58.3833330008;487
EEPRI;24.134167;58.2477780008;488
EEPIR;24.817778;59.4702780008;489
EEPJS;24.911944;59.4488890008;490
EEPVR;23.587222;58.5472220008;491
EEPOH;25.762222;59.6419440008;492
EEPOO;24.160278;58.2563890008;493
EEPIS;23.455556;58.7647220008;494
EEPPA;23.458333;58.9416670008;495
EEPUR;26.99182;59.4354310008;496
EEPUA;24.289167;58.3244440008;497
EEPSK;23.455;58.8983330008;498
EEPID;22.742222;58.8030560008;499
EERKL;24.568889;58.3630560008;500
EERMI;23.408056;59.0286110008;501
EERNN;22.569167;58.6872220008;502
EERNL;22.864167;58.6211110008;503
EERNM;24.478333;58.1216670008;504
EEREE;24.580556;58.3258330008;505
EERSG;22.113889;58.4697220008;506
EERHK;23.428333;58.9050000008;507
EERON;24.793167;59.5585000008;508
EERYH;23.515833;58.7061110008;509
EERGR;22.82;59.0000000008;510
EERMS;22.5;58.2000000008;511
EEROO;21.873889;58.2630560008;512
EERTJ;26.380278;59.5500000008;513
EESRS;23.611111;58.9961110008;514
EESEE;22.056111;57.9130560008;515
EESRK;23.138056;58.4341670008;516
EESLE;22.253611;58.1652780008;517
EESRV;23.0325;58.8244440008;518
EESNJ;23.651111;58.9891670008;519
EESEB;22.318333;58.5658330008;520
EESTE;24.056111;58.2763890008;521
EESGT;24.0025;58.1547220008;522
EESSM;22.639722;58.2297220008;523
EESLM;27.737;59.4223330008;524
EESLP;27.769167;59.3988890008;525
EESIN;24.628611;58.3900000008;526
EESTM;23.199444;58.5105560008;527
EESOE;22.593611;58.6175000008;528
EESPH;23.538333;59.2130560008;529
EESTS;23.749167;58.7213890008;530
EESUS;22.908333;58.9768330008;531
EETAL;22.978333;58.6033330008;532
EETHK;22.583889;59.0919440008;533
EETAU;23.569722;58.9886110008;534
EETHV;22.949167;58.9594440008;535
EETPL;25.574333;59.6106670008;536
EETMA;23.61;58.6933330008;537
EETEH;22.254722;58.1702780008;538
EETLS;23.431111;59.0597220008;539
EETIL;24.487778;59.4558330008;540
EETOI;27.533333;59.4266670008;541
EETOP;23.501111;58.8444440008;542
EETOS;23.994722;58.3447220008;543
EETYE;23.989722;58.3094440008;544
EETRE;24.385;57.9183330008;545
EETSI;25.522222;59.5191670008;546
EETYC;25.785556;59.6186110008;547
EETYD;21.92;58.4963890008;548
EETJA;22.933333;58.3333330008;549
EEUND;23.178056;58.4588890008;550
EEUNG;23.146667;58.4600000008;551
EEULU;24.557222;58.2811110008;552
EEUUR;25.545833;59.4886110008;553
EEVST;23.844167;58.3547220008;554
EEVRA;24.32;58.3819440008;555
EEVNO;25.683889;59.6161110008;556
EEVAR;23.753823;58.4331340008;557
EEVSE;22.4;58.5750000008;558
EEVEE;22.0505;58.4616670008;559
EEVRN;22.309722;58.5175000008;560
EEVHP;23.884444;59.2691670008;561
EEVIR;23.51;58.5750000008;562
EEVVS;23.569167;58.5791670008;563
EEVDU;24.02;58.3086110008;564
EEVOI;24.468333;58.2150000008;565
EEVKA;21.873611;58.2633330008;566
EEVRK;23.198611;58.6819440008;567
LTKLJ;21.116667;55.7166670009;568
LTNID;21.06391;56.0762420009;569
LTPLQ;21.065356;55.9196700009;570
LVLPX;21.016667;56.5166670009;571
LVMRX;23.1;57.3333330009;572
LVRIX;24.106389;56.9488890009;573
LVROJ;22.804906;57.5082470009;574
LVSAL;24.35;57.7500000009;575
LVSKU;24.433333;57.3166670009;576
LVVNT;21.533333;57.4000000009;577
NOOSL;10.733333;59.9000000008;578
PLCHP;18.371667;54.8050000009;579
PLCPY;15.985;54.2516670009;580
PLDKI;16.306667;54.3750000009;581
PLDAR;16.38;54.4400000009;582
PLDZN;14.723333;54.0200000009;583
PLDWI;15.39;54.1566670009;584
PLGDN;18.55;54.5233330009;585
PLJAL;16.536667;54.5383330009;586
PLJAT;18.671667;54.6900000009;587
PLKTR;19.22;54.3516670009;588
PLKUZ;18.575;54.7333330009;589
PLLEA;17.55;54.7666670009;590
PLMZZ;15.285;54.1383330009;591
PLMKZ;18.941667;54.3400000009;592
PLNIC;15.075;54.0916670009;593
PLOBL;19.586667;54.4333330009;594
PLPI2;19.586667;54.4333330009;595
PLPUC;18.406667;54.7200000009;596
PLREW;18.491667;54.6333330009;597
PLRWL;15.016667;54.0833330009;598
PLROW;17.05;54.6666670009;599
PLSUZ;19.44;54.2866670009;600
PLSWR;18.403333;54.7566670009;601
PLSBN;18.935;54.3350000009;602
PLSJK;14.29;53.8500000009;603
PLSJP;14.368333;53.8850000009;604
PLUNI;16.09;54.2700000009;605
PLUMS;15.751667;54.2166670009;606
PLWLA;18.418333;54.7966670009;607
SEGOT;11.901383;57.6913170009;608
SESMO;11.225;58.3533330008;609
SESTO;18.071;59.3283330008;610
DE4AV;9.933333333;54.63333333;611
DE8AN;14.270639;53.738711;612
DEAHC;14.19333333;53.94333333;613
DEFLF;9.43;54.80166667;614
DEGRD;13.38333333;54.08333333;615
DEHHF;10.98333333;54.37333333;616
DEKAP;9.935;54.65833333;617
DEKEL;10.15666667;54.33333333;618
DEKSL;13.75666667;54.12166667;619
DELAU;13.50833333;54.34166667;620
DELBC;10.7;53.89;621
DENDT;10.81166667;54.105;622
DEORT;11.05166667;54.44666667;623
DEPUT;11.19166667;54.48833333;624
DERSK;12.12333333;54.09333333;625
DESAS;13.64333333;54.51166667;626
DESTD;10.17166667;54.43666667;627
DESTL;13.09833333;54.31833333;628
DEWIS;11.45333333;53.89666667;629
DEZIN;13.96666667;54.06666667;630
DEZIS;12.68333333;54.43333333;631
DKAAB;9.4213;55.0449;632
DKAAL;9.9163;57.0493;633
DKAGH;8.2547;56.778;634
DKASA;10.4039;57.1482;635
DKBRA;9.0288;56.7989;636
DKBRR;12.4392;54.9952;637
DKDKD;10.2533;56.9054;638
DKEJS;9.2513;57.1017;639
DKFDS;12.0662;55.8371;640
DKKAR;12.2294;55.5702;641
DKLIS;12.0257;56.0126;642
DKMNK;10.5595;55.4595;643
DKMRR;9.9758;56.6486;644
DKNIV;12.4866;55.9371;645
DKNYM;8.8631;56.7945;646
DKNYS;11.6644;55.9223;647
DKROD;11.3586;54.663;648
DKSVN;11.1718;55.3656;649
DKVIB;9.2463;56.259;650
PLCHL;18.50333333;54.755;651
PLFBK;19.67333333;54.355;652
PLGDY;18.78833333;54.345;653
PLHEL;18.79666667;54.605;654
PLKOL;15.55333333;54.18666667;655
PLKPI;14.76833333;53.97166667;656
PLLUN;14.42166667;53.86666667;657
PLMID;14.455;53.93666667;658
PLNWA;14.28333333;53.72166667;659
PLSOP;18.575;54.43666667;660
PLSPA;14.61833333;53.65;661
PLSWI;14.25833333;53.90333333;662
PLTBZ;14.51833333;53.655;663
PLTMO;19.52;54.32166667;664
PLUST;16.85333333;54.58666667;665
PLWLI;14.61666667;53.83833333;666
SEAHU;14.308333;55.925;667
SEANG;12.841667;56.266667;668
SEBBH;12.905;55.756667;669
SEBID;11.93333333;57.56666667;670
SEBJR;13.01666667;55.71666667;671
SEDHN;18.689117;59.307717;672
SEELO;11.46666667;58.18333333;673
SEFAG;12.5;56.916667;674
SEFAR;16.45;56.65;675
